"ensembl_gene_id","external_gene_name","gene_biotype","external_gene_source","postip_21c_3.5","postip_21c_1.23","postip_21c_1.9","postip_21s_6.11","postip_21s_3.15","postip_21s_1.23","preip_21c_3.5","preip_21c_1.23","preip_21c_1.9","preip_21s_6.11","preip_21s_3.15","preip_21s_1.23"
"ENSMUSG00000037007","Zfp113","protein_coding","MGI Symbol",61,50,50,43,10,84,133,129,111,62,132,188
"ENSMUSG00000037010","Apln","protein_coding","MGI Symbol",97,75,366,172,21,83,850,679,800,844,710,728
"ENSMUSG00000037012","Hk1","protein_coding","MGI Symbol",1531,1473,1258,1144,1072,776,1413,1448,1617,1288,762,1658
"ENSMUSG00000037013","Ss18","protein_coding","MGI Symbol",137,33,194,66,146,63,410,239,286,321,425,302
"ENSMUSG00000037014","Sstr4","protein_coding","MGI Symbol",7,28,0,13,40,15,13,5,4,2,6,15
"ENSMUSG00000037016","Frem2","protein_coding","MGI Symbol",21,19,34,8,1,36,54,50,66,36,15,30
"ENSMUSG00000037017","Zscan21","protein_coding","MGI Symbol",317,186,245,127,492,184,325,205,170,215,252,232
"ENSMUSG00000037020","Wdr62","protein_coding","MGI Symbol",30,39,39,15,10,6,24,39,27,14,20,37
"ENSMUSG00000037022","Mmaa","protein_coding","MGI Symbol",230,155,226,110,140,198,257,200,149,246,248,234
"ENSMUSG00000037025","Foxa2","protein_coding","MGI Symbol",2,0,4,0,0,0,0,0,1,1,0,0
"ENSMUSG00000037028","Gm12800","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037029","Zfp146","protein_coding","MGI Symbol",172,272,29,43,92,120,180,135,76,91,120,164
"ENSMUSG00000037029","Zfp146","protein_coding","MGI Symbol",172,272,29,43,92,120,180,135,76,91,120,164
"ENSMUSG00000037031","Tspan15","protein_coding","MGI Symbol",160,39,148,63,106,51,664,568,652,785,425,544
"ENSMUSG00000037032","Apbb1","protein_coding","MGI Symbol",1910,2180,2326,2821,2472,1759,2582,3018,2630,2454,1580,3020
"ENSMUSG00000037033","Clca3b","protein_coding","MGI Symbol",0,2,2,0,0,0,1,0,1,0,1,0
"ENSMUSG00000037034","Pax1","protein_coding","MGI Symbol",0,0,44,0,0,0,1,0,2,0,6,4
"ENSMUSG00000037035","Inhbb","protein_coding","MGI Symbol",102,14,83,101,96,98,147,95,89,98,80,114
"ENSMUSG00000037049","Smpd1","protein_coding","MGI Symbol",1511,1126,1248,1405,1069,967,946,1051,984,1022,576,981
"ENSMUSG00000037053","Azgp1","protein_coding","MGI Symbol",0,0,0,0,0,0,0,2,0,0,0,0
"ENSMUSG00000037058","Paip2","protein_coding","MGI Symbol",4119,3418,4134,1450,4859,3991,2652,2415,2009,2142,2578,2303
"ENSMUSG00000037060","Prkcdbp","protein_coding","MGI Symbol",423,568,640,142,288,177,252,322,323,302,175,248
"ENSMUSG00000037062","Sh3glb1","protein_coding","MGI Symbol",1047,517,959,167,773,494,1912,1552,1313,1476,2024,1556
"ENSMUSG00000037064","Gm5229","pseudogene","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037070","Rbmxl1","protein_coding","MGI Symbol",75,26,80,32,103,76,47,39,39,42,39,33
"ENSMUSG00000037071","Scd1","protein_coding","MGI Symbol",1817,810,1265,650,534,702,4240,4084,4386,3607,2247,3917
"ENSMUSG00000037072","Sep15","protein_coding","MGI Symbol",1816,1175,1265,669,1571,1674,1175,960,935,1910,909,801
"ENSMUSG00000037075","Rnf139","protein_coding","MGI Symbol",377,114,120,136,321,405,246,190,190,241,219,159
"ENSMUSG00000037085","Trmt12","protein_coding","MGI Symbol",338,198,206,204,363,210,260,187,154,208,145,121
"ENSMUSG00000037086","Prr32","protein_coding","MGI Symbol",96,171,171,24,70,3,4,6,6,10,9,6
"ENSMUSG00000037089","Slc35b2","protein_coding","MGI Symbol",213,141,267,135,52,235,349,346,368,494,197,227
"ENSMUSG00000037095","Lrg1","protein_coding","MGI Symbol",18,7,41,25,43,25,27,28,12,25,13,14
"ENSMUSG00000037096","Gm9762","processed_pseudogene","MGI Symbol",10,17,24,5,23,9,11,18,18,8,21,27
"ENSMUSG00000037098","Rab11fip3","protein_coding","MGI Symbol",2177,1220,1693,1168,1544,1157,1481,1527,1423,1106,1078,1565
"ENSMUSG00000037101","Ttc29","protein_coding","MGI Symbol",0,0,0,0,0,0,3,10,18,0,0,2
"ENSMUSG00000037103","Dcaf15","protein_coding","MGI Symbol",117,107,36,33,23,52,98,128,103,86,49,122
"ENSMUSG00000037104","Socs5","protein_coding","MGI Symbol",1663,1351,983,890,1986,1489,1672,1683,1291,1047,1135,1289
"ENSMUSG00000037106","Fer1l6","protein_coding","MGI Symbol",4,0,0,10,11,5,8,1,4,4,2,7
"ENSMUSG00000037108","Zcwpw1","protein_coding","MGI Symbol",68,20,78,50,139,67,103,45,80,59,79,72
"ENSMUSG00000037110","Ralgapa2","protein_coding","MGI Symbol",776,440,591,116,270,187,422,344,266,220,355,341
"ENSMUSG00000037111","Setd7","protein_coding","MGI Symbol",4329,2312,3295,1092,3076,2832,4808,3839,3040,2256,3710,4094
"ENSMUSG00000037112","Sik2","protein_coding","MGI Symbol",375,320,314,152,610,366,757,630,526,340,493,669
"ENSMUSG00000037119","D15Ertd621e","protein_coding","MGI Symbol",1128,984,693,472,1245,900,1157,887,656,848,1092,776
"ENSMUSG00000037124","Trim58","protein_coding","MGI Symbol",136,188,67,18,118,19,9,10,9,15,22,26
"ENSMUSG00000037126","Psd","protein_coding","MGI Symbol",795,532,493,979,477,617,696,803,914,645,709,961
"ENSMUSG00000037129","Tmprss13","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037130","H2-M10.6","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037134","Prmt10","protein_coding","MGI Symbol",323,263,213,181,508,360,240,182,173,234,168,187
"ENSMUSG00000037138","Aff3","protein_coding","MGI Symbol",2013,1267,2106,634,2164,1392,1842,1582,1355,1138,1026,1393
"ENSMUSG00000037139","Myom3","protein_coding","MGI Symbol",0,0,1,9,0,2,3,7,6,1,1,2
"ENSMUSG00000037140","Tas2r108","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000037143","Cfap61","protein_coding","MGI Symbol",108,28,18,11,57,75,95,51,65,20,60,37
"ENSMUSG00000037145","2210407C18Rik","protein_coding","MGI Symbol",3,3,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000037148","Arhgap10","protein_coding","MGI Symbol",73,28,42,41,26,44,92,105,73,100,81,133
"ENSMUSG00000037149","Ddx1","protein_coding","MGI Symbol",2713,2102,2231,1185,4033,2174,2298,1672,1543,2024,1803,1723
"ENSMUSG00000037151","Lrrc20","protein_coding","MGI Symbol",1881,1458,1109,546,446,622,411,540,423,387,251,541
"ENSMUSG00000037152","Ndufc1","protein_coding","MGI Symbol",3096,3534,4129,2521,4037,4775,1609,1488,1844,2379,1258,1403
"ENSMUSG00000037157","Il22ra1","protein_coding","MGI Symbol",22,2,2,1,1,1,2,1,11,0,2,4
"ENSMUSG00000037159","Wee2","protein_coding","MGI Symbol",0,0,0,0,3,7,2,1,0,3,2,1
"ENSMUSG00000037161","Mgarp","protein_coding","MGI Symbol",0,0,1,12,0,0,1,2,0,0,0,2
"ENSMUSG00000037166","Ppp1r14a","protein_coding","MGI Symbol",27,5,24,28,0,20,313,354,327,267,176,465
"ENSMUSG00000037167","Spaca5","protein_coding","MGI Symbol",0,0,0,0,0,2,0,0,0,1,2,8
"ENSMUSG00000037169","Mycn","protein_coding","MGI Symbol",5,1,3,8,2,3,24,24,43,29,15,37
"ENSMUSG00000037171","Nodal","protein_coding","MGI Symbol",0,0,21,7,0,0,5,12,2,8,1,4
"ENSMUSG00000037172","E330009J07Rik","protein_coding","MGI Symbol",496,187,320,243,492,388,1114,646,611,627,1099,752
"ENSMUSG00000037174","Elf2","protein_coding","MGI Symbol",289,208,303,135,381,228,673,642,506,477,585,591
"ENSMUSG00000037185","Krt80","protein_coding","MGI Symbol",3,3,0,0,0,0,2,5,5,2,4,8
"ENSMUSG00000037188","Grhl3","protein_coding","MGI Symbol",48,73,14,31,34,0,29,15,13,13,26,30
"ENSMUSG00000037190","Cyb561d2","protein_coding","MGI Symbol",208,86,155,55,148,90,88,78,75,113,32,97
"ENSMUSG00000037196","Pacrg","protein_coding","MGI Symbol",2163,1738,2254,608,981,636,479,424,508,539,419,414
"ENSMUSG00000037197","Rbm17","protein_coding","MGI Symbol",1160,372,1056,510,1153,560,652,466,502,611,648,602
"ENSMUSG00000037202","Prf1","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037204","Atg101","protein_coding","MGI Symbol",383,126,344,226,351,215,269,259,212,273,139,218
"ENSMUSG00000037206","Islr","protein_coding","MGI Symbol",7,5,36,9,17,4,129,249,172,103,44,200
"ENSMUSG00000037210","Fam193a","protein_coding","MGI Symbol",1242,680,1142,367,1284,663,1618,1493,1793,1018,1183,1554
"ENSMUSG00000037211","Spry1","protein_coding","MGI Symbol",128,14,55,90,67,67,96,82,123,88,87,107
"ENSMUSG00000037214","Thap1","protein_coding","MGI Symbol",41,77,40,32,34,37,53,61,45,74,37,53
"ENSMUSG00000037216","Lipt1","protein_coding","MGI Symbol",38,4,12,33,45,57,25,17,19,12,35,16
"ENSMUSG00000037217","Syn1","protein_coding","MGI Symbol",16864,13884,18349,12711,16413,13715,10468,13499,14596,7505,7541,18268
"ENSMUSG00000037221","Mospd3","protein_coding","MGI Symbol",2215,1493,1906,1287,1801,1390,1339,1402,1713,978,971,1493
"ENSMUSG00000037224","Zfyve28","protein_coding","MGI Symbol",985,761,778,459,548,483,398,371,310,329,260,516
"ENSMUSG00000037225","Fgf2","protein_coding","MGI Symbol",13,2,21,9,2,15,14,9,10,2,19,19
"ENSMUSG00000037234","Hook3","protein_coding","MGI Symbol",959,775,1084,260,772,661,1466,1707,1051,1068,2470,1768
"ENSMUSG00000037235","Mxd4","protein_coding","MGI Symbol",323,259,470,334,312,187,766,1109,935,700,619,875
"ENSMUSG00000037236","Matr3","protein_coding","MGI Symbol",738,477,554,279,982,1107,775,952,709,764,783,829
"ENSMUSG00000037239","Spred3","protein_coding","MGI Symbol",1332,1367,1431,495,623,660,920,833,849,494,607,959
"ENSMUSG00000037242","Clic4","protein_coding","MGI Symbol",873,402,750,468,351,476,3920,3528,3075,2589,2448,3489
"ENSMUSG00000037243","Zfp692","protein_coding","MGI Symbol",59,33,82,34,63,40,101,46,88,47,91,87
"ENSMUSG00000037246","H2-M10.5","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037246","H2-M10.5","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037247","Pldi","lincRNA","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037251","Pomk","protein_coding","MGI Symbol",1101,706,757,717,1064,575,792,655,699,688,549,669
"ENSMUSG00000037253","Mex3c","protein_coding","MGI Symbol",396,366,208,98,152,250,465,401,330,316,398,439
"ENSMUSG00000037254","Itih2","protein_coding","MGI Symbol",8,0,7,8,0,0,13,86,20,24,10,21
"ENSMUSG00000037257","Aagab","protein_coding","MGI Symbol",670,378,501,297,495,210,600,406,495,479,380,360
"ENSMUSG00000037259","Dzank1","protein_coding","MGI Symbol",4182,2810,2442,3514,5049,4540,6570,5299,4410,4445,6061,5304
"ENSMUSG00000037260","Hgsnat","protein_coding","MGI Symbol",1523,1384,1576,1496,2633,1869,968,937,858,953,756,1018
"ENSMUSG00000037262","Kin","protein_coding","MGI Symbol",125,92,81,45,140,87,134,97,183,123,172,104
"ENSMUSG00000037263","Aldh3b3","protein_coding","MGI Symbol",1,0,0,0,0,0,12,0,4,0,2,0
"ENSMUSG00000037266","Rsrp1","protein_coding","MGI Symbol",290,154,303,216,332,277,1438,929,825,677,2237,849
"ENSMUSG00000037270","4932438A13Rik","protein_coding","MGI Symbol",741,650,1012,186,1245,954,1063,906,556,843,1178,745
"ENSMUSG00000037275","Gemin5","protein_coding","MGI Symbol",246,314,434,152,357,234,346,431,334,315,199,396
"ENSMUSG00000037278","Tmem97","protein_coding","MGI Symbol",43,22,49,56,86,37,88,110,85,107,40,54
"ENSMUSG00000037279","Ovol2","protein_coding","MGI Symbol",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000037280","Galnt6","protein_coding","MGI Symbol",105,33,119,131,25,49,796,557,615,642,462,696
"ENSMUSG00000037286","Stag1","protein_coding","MGI Symbol",251,223,426,173,412,327,580,555,398,450,623,438
"ENSMUSG00000037287","Tbcel","protein_coding","MGI Symbol",505,250,472,152,647,325,728,634,521,480,609,497
"ENSMUSG00000037295","Ldlrap1","protein_coding","MGI Symbol",13,24,34,63,6,48,392,398,389,331,252,376
"ENSMUSG00000037296","Lsm1","protein_coding","MGI Symbol",848,624,841,417,1057,891,471,305,328,499,299,313
"ENSMUSG00000037300","Ttc13","protein_coding","MGI Symbol",160,227,186,82,251,189,212,205,104,158,182,151
"ENSMUSG00000037306","Man1c1","protein_coding","MGI Symbol",992,495,625,383,487,503,794,774,807,575,405,704
"ENSMUSG00000037307","Banf2","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037313","Tacc3","protein_coding","MGI Symbol",80,80,68,47,123,75,104,82,72,108,96,104
"ENSMUSG00000037315","Jade3","protein_coding","MGI Symbol",62,14,80,18,28,7,77,66,53,32,90,78
"ENSMUSG00000037316","Bag4","protein_coding","MGI Symbol",341,237,199,97,257,227,317,189,173,198,271,223
"ENSMUSG00000037318","Traf3ip3","protein_coding","MGI Symbol",0,0,42,1,0,0,3,27,5,7,14,8
"ENSMUSG00000037321","Tap1","protein_coding","MGI Symbol",2,4,0,3,0,9,15,25,4,8,16,14
"ENSMUSG00000037325","Bbs7","protein_coding","MGI Symbol",189,210,150,36,118,141,158,142,116,164,145,120
"ENSMUSG00000037326","Capn15","protein_coding","MGI Symbol",55,6,102,80,24,70,137,197,156,70,90,179
"ENSMUSG00000037331","Larp1","protein_coding","MGI Symbol",4020,2272,2061,968,2493,1876,2718,2286,2844,1520,2066,3056
"ENSMUSG00000037334","H2-M1","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037335","Hand1","protein_coding","MGI Symbol",0,0,0,1,0,0,0,0,1,1,1,2
"ENSMUSG00000037336","Mfsd2b","protein_coding","MGI Symbol",6,10,3,3,0,10,13,17,10,2,5,41
"ENSMUSG00000037337","Map4k1","protein_coding","MGI Symbol",9,11,1,3,59,32,12,39,8,5,9,18
"ENSMUSG00000037339","Fam53a","protein_coding","MGI Symbol",197,130,264,80,181,103,243,277,180,169,212,200
"ENSMUSG00000037341","Slc9a7","protein_coding","MGI Symbol",916,814,657,482,1474,632,706,658,616,460,486,562
"ENSMUSG00000037343","Taf2","protein_coding","MGI Symbol",516,451,424,407,784,507,967,846,736,684,826,822
"ENSMUSG00000037344","Slc12a9","protein_coding","MGI Symbol",111,24,55,143,24,36,261,233,251,232,206,243
"ENSMUSG00000037346","Hrh4","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037347","Chst7","protein_coding","MGI Symbol",0,0,14,0,0,0,2,4,4,4,2,14
"ENSMUSG00000037348","Paqr7","protein_coding","MGI Symbol",1278,489,1007,1018,977,662,804,754,953,1003,633,995
"ENSMUSG00000037349","Nudt22","protein_coding","MGI Symbol",769,331,541,201,222,179,174,122,148,211,149,191
"ENSMUSG00000037351","Actr1b","protein_coding","MGI Symbol",10762,6772,6138,7397,6555,5780,6116,5785,6742,5420,4438,5737
"ENSMUSG00000037353","Letmd1","protein_coding","MGI Symbol",527,460,739,222,346,254,574,602,509,455,415,546
"ENSMUSG00000037355","Uvssa","protein_coding","MGI Symbol",27,11,19,12,101,30,186,136,107,65,250,86
"ENSMUSG00000037358","4930578C19Rik","protein_coding","MGI Symbol",1,0,0,0,0,1,10,2,2,3,3,10
"ENSMUSG00000037361","Sf3b6","protein_coding","MGI Symbol",662,650,819,292,914,840,607,424,376,831,480,343
"ENSMUSG00000037362","Nov","protein_coding","MGI Symbol",103,104,30,7,33,21,12,33,10,17,11,22
"ENSMUSG00000037363","Letm2","protein_coding","MGI Symbol",226,146,108,75,138,109,188,134,148,131,130,187
"ENSMUSG00000037364","Srrt","protein_coding","MGI Symbol",796,489,617,509,699,634,877,793,692,543,696,746
"ENSMUSG00000037366","Pafah2","protein_coding","MGI Symbol",258,91,202,18,60,16,89,76,53,64,81,108
"ENSMUSG00000037369","Kdm6a","protein_coding","MGI Symbol",299,341,609,95,212,331,765,751,321,311,632,525
"ENSMUSG00000037370","Enpp1","protein_coding","MGI Symbol",64,77,55,37,70,124,319,248,308,310,157,222
"ENSMUSG00000037373","Ctbp1","protein_coding","MGI Symbol",1785,948,1259,979,1079,1027,1321,1267,1179,1207,806,1217
"ENSMUSG00000037375","Hhat","protein_coding","MGI Symbol",76,32,175,26,81,44,28,38,50,27,12,39
"ENSMUSG00000037376","Trmt6","protein_coding","MGI Symbol",414,224,273,151,360,248,319,207,295,191,274,239
"ENSMUSG00000037379","Spon2","protein_coding","MGI Symbol",1,60,6,1,1,29,13,14,26,11,3,9
"ENSMUSG00000037386","Rims2","protein_coding","MGI Symbol",709,480,516,336,1044,365,2146,1329,1364,1235,1582,1208
"ENSMUSG00000037390","Muc3","protein_coding","MGI Symbol",4,0,0,0,13,2,0,0,0,0,1,0
"ENSMUSG00000037393","Nmur2","protein_coding","MGI Symbol",13,13,33,28,42,3,68,71,82,58,94,61
"ENSMUSG00000037395","Rcor3","protein_coding","MGI Symbol",288,140,393,55,330,155,450,380,299,197,345,334
"ENSMUSG00000037400","Atp11b","protein_coding","MGI Symbol",417,228,222,73,187,282,501,309,213,236,897,291
"ENSMUSG00000037405","Icam1","protein_coding","MGI Symbol",0,0,0,4,0,4,10,17,1,9,3,4
"ENSMUSG00000037406","Htra4","protein_coding","MGI Symbol",4,0,1,0,22,0,2,0,1,2,1,2
"ENSMUSG00000037408","Cnnm4","protein_coding","MGI Symbol",190,114,185,62,87,84,96,137,143,108,87,158
"ENSMUSG00000037410","Tbc1d2b","protein_coding","MGI Symbol",223,189,201,148,71,126,351,312,300,165,181,245
"ENSMUSG00000037411","Serpine1","protein_coding","MGI Symbol",14,4,0,3,0,5,4,4,1,4,6,5
"ENSMUSG00000037415","Ranbp10","protein_coding","MGI Symbol",281,262,283,151,162,243,450,531,440,307,355,420
"ENSMUSG00000037416","Dmxl1","protein_coding","MGI Symbol",940,996,1172,272,1394,812,1007,1076,557,694,1102,868
"ENSMUSG00000037418","Best1","protein_coding","MGI Symbol",30,6,13,40,81,30,66,19,36,51,48,35
"ENSMUSG00000037419","Endod1","protein_coding","MGI Symbol",7045,4618,4316,2433,3997,3507,3706,3544,3087,3227,2304,3332
"ENSMUSG00000037424","Taar9","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037426","Depdc5","protein_coding","MGI Symbol",453,395,313,413,918,730,973,875,974,665,739,933
"ENSMUSG00000037428","Vgf","protein_coding","MGI Symbol",850,874,509,773,405,426,413,865,562,342,302,829
"ENSMUSG00000037432","Fer1l5","protein_coding","MGI Symbol",51,35,40,4,9,13,40,15,23,30,20,30
"ENSMUSG00000037434","Slc30a1","protein_coding","MGI Symbol",101,35,24,79,200,114,321,185,190,244,208,204
"ENSMUSG00000037437","Adam32","protein_coding","MGI Symbol",17,2,2,0,0,0,9,5,4,10,12,3
"ENSMUSG00000037438","Gm9763","processed_pseudogene","MGI Symbol",13,10,7,8,10,9,4,4,7,8,6,14
"ENSMUSG00000037440","Vnn1","protein_coding","MGI Symbol",1,0,0,2,1,1,3,4,0,0,0,0
"ENSMUSG00000037443","Cep85","protein_coding","MGI Symbol",89,162,130,71,183,143,172,181,214,154,180,204
"ENSMUSG00000037446","Tulp1","protein_coding","MGI Symbol",4,0,3,0,1,0,2,1,0,1,1,1
"ENSMUSG00000037447","Arid5a","protein_coding","MGI Symbol",22,35,0,27,14,14,94,144,79,104,82,134
"ENSMUSG00000037451","Slc22a20","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037455","Slc18b1","protein_coding","MGI Symbol",263,224,121,100,300,176,161,170,122,125,144,145
"ENSMUSG00000037458","Azin1","protein_coding","MGI Symbol",1497,563,1145,568,1054,1021,1131,1001,707,847,1016,740
"ENSMUSG00000037461","Ints7","protein_coding","MGI Symbol",220,50,187,143,248,184,449,398,276,346,260,408
"ENSMUSG00000037463","Fbxo27","protein_coding","MGI Symbol",826,863,919,463,413,281,450,400,341,303,273,307
"ENSMUSG00000037465","Klf10","protein_coding","MGI Symbol",191,136,61,64,77,137,77,165,127,99,126,141
"ENSMUSG00000037466","4930427A07Rik","protein_coding","MGI Symbol",153,0,18,26,1,19,70,100,115,88,65,71
"ENSMUSG00000037469","Papl","protein_coding","MGI Symbol",0,0,0,7,8,3,8,3,3,1,1,6
"ENSMUSG00000037470","Uggt1","protein_coding","MGI Symbol",678,586,260,338,656,596,707,682,487,490,513,649
"ENSMUSG00000037474","Dtl","protein_coding","MGI Symbol",1,4,38,1,11,5,5,9,2,13,17,12
"ENSMUSG00000037475","Thoc2","protein_coding","MGI Symbol",145,115,192,18,87,177,190,277,165,225,363,236
"ENSMUSG00000037477","Tbx10","protein_coding","MGI Symbol",11,0,0,1,5,1,17,7,49,8,14,18
"ENSMUSG00000037482","Erv3","protein_coding","MGI Symbol",6,3,16,0,0,0,5,8,1,10,13,1
"ENSMUSG00000037486","Asxl2","protein_coding","MGI Symbol",290,389,389,109,269,200,936,809,607,453,1010,753
"ENSMUSG00000037487","Ubr5","protein_coding","MGI Symbol",1656,1240,967,470,1256,1062,2163,1311,1080,1528,1852,1443
"ENSMUSG00000037490","Slc2a12","protein_coding","MGI Symbol",0,0,2,0,0,3,28,31,8,7,14,10
"ENSMUSG00000037492","Zmat4","protein_coding","MGI Symbol",265,60,309,182,587,394,442,416,210,353,399,315
"ENSMUSG00000037493","Cib2","protein_coding","MGI Symbol",1558,1038,1090,373,897,754,455,258,375,393,366,362
"ENSMUSG00000037499","Nenf","protein_coding","MGI Symbol",860,773,1231,664,2147,1267,549,751,532,822,388,655
"ENSMUSG00000037503","Fam168b","protein_coding","MGI Symbol",8553,3656,4006,3795,5836,4365,7323,4847,5729,4482,6661,6252
"ENSMUSG00000037509","Arhgef4","protein_coding","MGI Symbol",5686,4214,4408,3318,4611,3131,3531,2976,3445,3197,1816,3041
"ENSMUSG00000037514","Pank2","protein_coding","MGI Symbol",890,755,621,433,1391,796,612,471,525,497,508,614
"ENSMUSG00000037519","Ppfia1","protein_coding","MGI Symbol",797,408,665,317,785,378,983,835,737,529,796,799
"ENSMUSG00000037523","Mavs","protein_coding","MGI Symbol",158,108,90,104,60,40,295,377,344,247,211,364
"ENSMUSG00000037525","Bcdin3d","protein_coding","MGI Symbol",69,71,61,18,62,42,58,60,41,56,38,73
"ENSMUSG00000037526","Atg14","protein_coding","MGI Symbol",187,122,117,70,164,135,260,267,231,179,240,245
"ENSMUSG00000037529","Prss40","protein_coding","MGI Symbol",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037531","Mrpl47","protein_coding","MGI Symbol",429,390,333,173,706,491,237,216,174,224,170,173
"ENSMUSG00000037533","Rapgef6","protein_coding","MGI Symbol",730,690,502,203,814,672,862,813,468,532,835,602
"ENSMUSG00000037535","1700021A07Rik","lincRNA","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037536","Fbxo34","protein_coding","MGI Symbol",483,235,294,166,383,177,267,216,203,225,174,274
"ENSMUSG00000037537","H2-M11","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037541","Shank2","protein_coding","MGI Symbol",1053,181,753,324,469,800,908,707,983,676,811,1020
"ENSMUSG00000037542","Aldh8a1","protein_coding","MGI Symbol",0,0,0,0,0,0,3,1,0,0,1,0
"ENSMUSG00000037544","Dlgap5","protein_coding","MGI Symbol",2,1,18,0,0,11,5,40,15,30,12,25
"ENSMUSG00000037548","H2-DMb2","protein_coding","MGI Symbol",0,0,0,0,0,16,0,2,12,3,1,16
"ENSMUSG00000037552","Plekhg2","protein_coding","MGI Symbol",64,13,44,23,46,21,135,229,219,80,69,295
"ENSMUSG00000037553","Zdhhc18","protein_coding","MGI Symbol",2289,1348,1187,984,770,800,683,929,963,572,459,858
"ENSMUSG00000037563","Rps16","protein_coding","MGI Symbol",66,57,27,82,25,57,104,115,105,153,43,73
"ENSMUSG00000037568","Vash2","protein_coding","MGI Symbol",94,51,81,64,85,68,115,55,65,90,101,128
"ENSMUSG00000037570","Mcrs1","protein_coding","MGI Symbol",102,54,59,39,62,50,68,83,69,44,42,79
"ENSMUSG00000037572","Wdhd1","protein_coding","MGI Symbol",32,1,41,23,14,30,51,45,89,38,80,62
"ENSMUSG00000037573","Tob1","protein_coding","MGI Symbol",424,139,697,168,244,376,1033,847,747,841,750,720
"ENSMUSG00000037577","Ephx3","protein_coding","MGI Symbol",0,0,0,1,0,0,0,1,19,4,1,0
"ENSMUSG00000037578","Pkd2l1","protein_coding","MGI Symbol",20,0,0,2,8,0,29,59,31,38,38,34
"ENSMUSG00000037579","Kcnh3","protein_coding","MGI Symbol",12,49,11,8,3,0,1,8,1,5,5,2
"ENSMUSG00000037580","Gch1","protein_coding","MGI Symbol",59,40,22,2,1,7,16,12,13,9,13,10
"ENSMUSG00000037583","Nr0b2","protein_coding","MGI Symbol",3,2,70,0,1,1,0,0,0,0,0,2
"ENSMUSG00000037593","BC030499","protein_coding","MGI Symbol",3,6,41,1,9,7,38,11,7,7,52,20
"ENSMUSG00000037594","BC022687","protein_coding","MGI Symbol",325,181,314,100,125,46,97,117,153,68,68,68
"ENSMUSG00000037600","Kdf1","protein_coding","MGI Symbol",2,1,4,0,1,0,0,0,1,2,1,4
"ENSMUSG00000037601","Nme1","protein_coding","MGI Symbol",4212,3623,4697,2194,6496,3049,1342,1365,1317,1826,1087,1444
"ENSMUSG00000037603","Gm5519","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037605","Adgrl3","protein_coding","MGI Symbol",902,875,821,551,1295,852,1692,1386,1206,1172,1357,1387
"ENSMUSG00000037606","Osbpl5","protein_coding","MGI Symbol",396,211,403,242,312,306,215,267,312,235,146,232
"ENSMUSG00000037608","Bclaf1","protein_coding","MGI Symbol",1589,1255,1339,312,1956,1448,1486,1453,1147,864,2028,1635
"ENSMUSG00000037610","Kcnmb2","protein_coding","MGI Symbol",32,8,8,56,65,73,46,39,20,37,39,50
"ENSMUSG00000037613","Tnfrsf23","protein_coding","MGI Symbol",78,82,46,115,99,56,28,31,20,49,34,49
"ENSMUSG00000037617","Spag1","protein_coding","MGI Symbol",282,168,407,315,499,481,287,254,237,220,293,207
"ENSMUSG00000037621","Atoh8","protein_coding","MGI Symbol",3,1,0,8,0,0,17,67,44,24,11,35
"ENSMUSG00000037622","Wdtc1","protein_coding","MGI Symbol",2567,1624,1913,1691,1196,1164,2465,2582,2656,1521,1288,2942
"ENSMUSG00000037624","Kcnk2","protein_coding","MGI Symbol",428,155,244,113,621,168,403,290,247,247,333,281
"ENSMUSG00000037625","Cldn11","protein_coding","MGI Symbol",1216,405,1642,1072,405,557,5390,4316,5111,8096,4422,5082
